model,accuracy,r2,combined
mlp_weighted_blend_v1,0.86,0.8552908897399902,0.857645444869995
target_stats,0.8562857142857143,0.8551770448684692,0.8557313795770918
combo_approach3,0.8558571428571429,0.8546750545501709,0.8552660987036569
mps_seed_blend,0.843,0.8500900268554688,0.8465450134277344
mlp_target_stats_v1,0.8424285714285714,0.8338513374328613,0.8381399544307164
