model,accuracy,r2,combined
blend_xgb_lgb_et_mps,0.825,0.8435313150135433,0.8342656575067716
xgb,0.7952857142857143,0.8430418074527792,0.8191637608692468
lgb,0.7968571428571428,0.8404193951616798,0.8186382690094114
mps,0.806,0.7878504262419374,0.7969252131209688
et,0.6934285714285714,0.7304902143789009,0.7119593929037362
