model,accuracy,r2,combined,family
meta_overnight,0.8477142857142858,0.8512634634971619,0.8494888746057239,public_best
blend_overnight,0.8424285714285714,0.8485081791877747,0.8454683753081731,public_best
target_stats_blend,0.8562857142857143,0.8551770448684692,0.8557313795770918,local_research
mlp_meta_stack_v1,0.8587142857142858,0.8556477427482605,0.8571810142312731,local_research
mlp_weighted_blend_v1,0.86,0.8552908897399902,0.857645444869995,local_best
