model,accuracy,r2,combined
blend_parallel,0.8017142857142857,0.8432981371879578,0.8225062114511217
xgb_parallel,0.7952857142857143,0.8430417776107788,0.8191637459482466
lgbm_parallel,0.7968571428571428,0.8404194116592407,0.8186382772581917
extratrees_parallel,0.6934285714285714,0.7304902076721191,0.7119593895503453
